"ID","time","lon","lat","ID_old","centre_lon","centre_lat","d2c"
"4182444-1",2011-12-15 02:43:29,-6.900035751,-67.31935778,4182444,3.048437314,-69.95912459,0.499410839549054
"4182444-1",2011-12-15 03:13:29,-7.210569119,-67.2164595,4182444,3.048437314,-69.95912459,0.517050160891759
"4182444-1",2011-12-15 03:43:29,-7.451033249,-67.13319564,4182444,3.048437314,-69.95912459,0.531001527417819
"4182444-1",2011-12-15 04:13:29,-7.68970343,-67.04956582,4182444,3.048437314,-69.95912459,0.544948789344988
"4182444-1",2011-12-15 04:43:29,-7.932193428,-66.98314319,4182444,3.048437314,-69.95912459,0.557776092364674
"4182444-1",2011-12-15 05:13:29,-8.162988128,-66.92273631,4182444,3.048437314,-69.95912459,0.569795205577391
"4182444-1",2011-12-15 05:43:29,-8.391043158,-66.86254769,4182444,3.048437314,-69.95912459,0.581725534481098
"4182444-1",2011-12-15 06:13:29,-8.697523325,-66.67756039,4182444,3.048437314,-69.95912459,0.605556971099606
"4182444-1",2011-12-15 06:43:29,-8.991845072,-66.47344599,4182444,3.048437314,-69.95912459,0.630623932279435
"4182444-1",2011-12-15 07:13:29,-9.297387024,-66.22927879,4182444,3.048437314,-69.95912459,0.659381912238853
"4182444-1",2011-12-15 07:43:29,-9.73962984,-66.01190594,4182444,3.048437314,-69.95912459,0.690648952645083
"4182444-1",2011-12-15 08:13:29,-10.14876907,-65.77497425,4182444,3.048437314,-69.95912459,0.722581016944329
"4182444-1",2011-12-15 08:43:29,-10.46151156,-65.52947039,4182444,3.048437314,-69.95912459,0.752347078227443
"4182444-1",2011-12-15 09:13:29,-10.66575984,-65.33763379,4182444,3.048437314,-69.95912459,0.774501938950593
"4182444-1",2011-12-15 09:43:29,-10.92914056,-65.10149999,4182444,3.048437314,-69.95912459,0.802335230449089
"4182444-1",2011-12-15 10:13:29,-11.17457471,-64.84655215,4182444,3.048437314,-69.95912459,0.831396290259843
"4182444-1",2011-12-15 10:43:29,-11.34313554,-64.6194828,4182444,3.048437314,-69.95912459,0.855934701361612
"4182444-1",2011-12-15 11:13:29,-11.42402495,-64.33655404,4182444,3.048437314,-69.95912459,0.882870851033492
"4182444-1",2011-12-15 11:43:29,-11.45326126,-64.03292983,4182444,3.048437314,-69.95912459,0.910467028729359
"4182444-1",2011-12-15 12:13:29,-11.40221698,-63.73758287,4182444,3.048437314,-69.95912459,0.935412035395559
"4182444-1",2011-12-15 12:43:29,-11.2452509,-63.45787466,4182444,3.048437314,-69.95912459,0.956368598593501
"4182444-1",2011-12-15 13:13:29,-11.20006173,-63.19819831,4182444,3.048437314,-69.95912459,0.979068035012271
"4182444-1",2011-12-15 13:43:29,-11.2351179,-62.99242538,4182444,3.048437314,-69.95912459,0.999219154689353
"4182444-1",2011-12-15 14:13:29,-11.12423717,-62.79716806,4182444,3.048437314,-69.95912459,1.01454305387564
"4182444-1",2011-12-15 14:43:29,-10.96841509,-62.53630685,4182444,3.048437314,-69.95912459,1.03514235127901
"4182444-1",2011-12-15 15:13:29,-10.67303063,-62.31461031,4182444,3.048437314,-69.95912459,1.04871375163909
